datetime,pv_kw,load_el_kw,load_heat_kw,ev_demand_kw,pv_irradiance_wh_m2,electricity_consumption_kwh_step,heat_demand_kwh_step,ev_demand_kwh_step
2026-01-01 00:00:00+01:00,0.0,7.117437921272207,78.8455763552698,0.0,0.0,7.117437921272207,78.8455763552698,0.0
2026-01-01 01:00:00+01:00,0.0,6.686882257556029,78.84557647692645,0.0,0.0,6.686882257556029,78.84557647692645,0.0
2026-01-01 02:00:00+01:00,0.0,7.21980812950239,78.845606168312,0.0,0.0,7.21980812950239,78.845606168312,0.0
2026-01-01 03:00:00+01:00,0.0,7.813345059455821,78.84826005610984,0.0,0.0,7.813345059455821,78.84826005610984,0.0
2026-01-01 04:00:00+01:00,0.0,6.621863384184122,78.93444832739256,0.0,0.0,6.621863384184122,78.93444832739256,0.0
2026-01-01 05:00:00+01:00,0.0,6.621874516476252,79.92825862097952,0.0,0.0,6.621874516476252,79.92825862097952,0.0
2026-01-01 06:00:00+01:00,0.0,18.843457605543556,83.6978216327877,0.0,0.0,18.843457605543556,83.6978216327877,0.0
2026-01-01 07:00:00+01:00,0.0,17.52240873986903,86.84557635508662,0.0,0.0,17.52240873986903,86.84557635508662,0.0
2026-01-01 08:00:00+01:00,0.0,15.509521953570923,83.6978216327877,0.0,0.0,15.509521953570923,83.6978216327877,0.0
2026-01-01 09:00:00+01:00,2.7319761960299678,14.297048685465448,79.92825862097952,0.0,31.402025241723766,14.297048685465448,79.92825862097952,0.0
2026-01-01 10:00:00+01:00,9.542059404222439,12.932815272108426,78.93444832739256,7.4,109.67884372669471,12.932815272108426,78.93444832739256,7.4
2026-01-01 11:00:00+01:00,15.63406460677947,12.929679824448534,78.84826005610984,7.4,179.70189203194792,12.929679824448534,78.84826005610984,7.4
2026-01-01 12:00:00+01:00,21.475981896208406,13.889399977415067,78.84560616831205,7.4,246.85036662308514,13.889399977415067,78.84560616831205,7.4
2026-01-01 13:00:00+01:00,13.62116188266914,10.966617744632432,78.84557647701804,7.4,156.56507911113954,10.966617744632432,78.84557647701804,7.4
2026-01-01 14:00:00+01:00,11.784956203251497,11.222061068247537,78.84557641618972,0.0,135.45926670404018,11.222061068247537,78.84557641618972,0.0
2026-01-01 15:00:00+01:00,9.238143024790455,12.798735232810722,78.84559126169941,0.0,106.1855520090857,12.798735232810722,78.84559126169941,0.0
2026-01-01 16:00:00+01:00,2.396620775427416,12.187740974285587,78.84691820559823,0.0,27.547365234797887,12.187740974285587,78.84691820559823,0.0
2026-01-01 17:00:00+01:00,0.0,20.981141533705937,78.8900123412396,0.0,0.0,20.981141533705937,78.8900123412396,0.0
2026-01-01 18:00:00+01:00,0.0,18.494808931883277,79.38691748803308,0.0,0.0,18.494808931883277,79.38691748803308,0.0
2026-01-01 19:00:00+01:00,0.0,17.469008225288505,81.27169899393715,0.0,0.0,17.469008225288505,81.27169899393715,0.0
2026-01-01 20:00:00+01:00,0.0,23.32331112870201,82.84557635508662,0.0,0.0,23.32331112870201,82.84557635508662,0.0
2026-01-01 21:00:00+01:00,0.0,9.278561000533733,81.27169899393715,0.0,0.0,9.278561000533733,81.27169899393715,0.0
2026-01-01 22:00:00+01:00,0.0,9.556991679701435,79.38691748803308,0.0,0.0,9.556991679701435,79.38691748803308,0.0
2026-01-01 23:00:00+01:00,0.0,8.140390428460991,78.8900123412396,0.0,0.0,8.140390428460991,78.8900123412396,0.0
